LULC,HRU,year,surfaceQ,lateralQ,NSURQ,NLATQ,Yield_tonperha,TileQ,TileNO3
OYB,1,18.0,13.044,5.152,0.182,0.168,6.763999999999999,0.0,0.0
OYB,2,18.0,13.787,3.9130000000000003,0.193,0.105,6.7829999999999995,283.0,21.6
OYB,3,18.0,11.164000000000001,1.719,0.139,0.261,6.492999999999999,332.0,23.5
OYB,4,18.0,11.144,3.928,0.138,0.574,6.478,330.0,23.4
ORN,5,18.0,12.3,4.446000000000001,0.152,0.6679999999999999,6.747999999999999,332.0,22.0
ORN,6,18.0,12.325999999999999,1.95,0.152,0.303,6.761,334.0,22.0
ORN,7,18.0,12.251,8.612,0.14800000000000002,0.373,6.218999999999999,0.0,0.0
OYB,8,18.0,11.360999999999999,14.165999999999999,0.136,0.605,5.806,0.0,0.0
OYB,9,18.0,11.139000000000001,4.198,0.138,0.611,6.476,330.0,23.4
ORN,10,18.0,11.873,19.637,0.16399999999999998,0.7290000000000001,6.813,0.0,0.0
ORN,11,18.0,11.698,4.412,0.165,0.251,7.004,291.0,20.5
ORN,12,18.0,11.717,1.931,0.166,0.11199999999999999,7.01,293.0,20.5
OYB,13,18.0,12.41,1.847,0.17,0.10300000000000001,6.684,290.0,21.3
OYB,14,18.0,12.382,4.227,0.17,0.23199999999999998,6.6770000000000005,288.0,21.3
OYB,15,18.0,11.138,4.198,0.138,0.611,6.476,330.0,23.4
OYB,16,18.0,11.386,7.14,0.13699999999999998,0.306,5.801,0.0,0.0
OYB,17,18.0,10.864,256.665,0.147,8.683,6.409,0.0,0.0
ORN,18,18.0,11.728,1.93,0.166,0.11199999999999999,7.01,293.0,20.5
ORN,19,18.0,11.7,4.412,0.165,0.251,7.004,291.0,20.5
OYB,20,18.0,10.482000000000001,3.3360000000000003,0.152,0.102,6.801,280.0,18.6
OYB,21,18.0,10.504000000000001,1.4469999999999998,0.153,0.044000000000000004,6.803999999999999,282.0,18.6
OYB,22,18.0,12.392000000000001,1.848,0.17,0.10300000000000001,6.685,290.0,21.3
OYB,23,18.0,12.411,32.882,0.16699999999999998,1.218,6.459,0.0,0.0
ERM,24,18.0,227.55,4.796,1.6480000000000001,0.015,0.0,0.0,0.0
ERM,25,18.0,227.68900000000002,1.329,1.656,0.004,0.0,0.0,0.0
ERM,26,18.0,223.18599999999998,5.016,1.6230000000000002,0.017,0.0,0.0,0.0
ERM,27,18.0,223.332,1.421,1.63,0.005,0.0,0.0,0.0
OYB,28,18.0,11.782,6.257999999999999,0.136,0.233,5.457000000000001,0.0,0.0
ORN,29,18.0,12.186,1.4280000000000002,0.17800000000000002,0.043,7.197,290.0,20.1
ORN,30,18.0,13.668,5.16,0.191,0.16399999999999998,7.167999999999999,0.0,0.0
OYB,31,18.0,12.395999999999999,1.848,0.17,0.10300000000000001,6.685,290.0,21.3
OYB,32,18.0,11.8,177.86,0.161,6.252999999999999,6.466,0.0,0.0
ORN,33,18.0,11.892999999999999,10.43,0.16399999999999998,0.38799999999999996,6.814,0.0,0.0
OYB,34,18.0,12.385,4.227,0.17,0.23199999999999998,6.6770000000000005,288.0,21.3
OYB,35,18.0,12.414000000000001,1.847,0.17,0.10300000000000001,6.685,290.0,21.3
ORN,36,18.0,11.702,4.107,0.165,0.23399999999999999,7.005,291.0,20.5
ORN,37,18.0,11.728,1.93,0.166,0.11199999999999999,7.01,293.0,20.5
ORN,38,18.0,11.091,4.15,0.153,0.252,7.046,288.0,18.1
ORN,39,18.0,11.102,1.6909999999999998,0.154,0.10400000000000001,7.053,290.0,18.1
OYB,40,18.0,10.661,275.231,0.15,8.29,6.6579999999999995,0.0,0.0
ORN,41,18.0,11.696,4.412,0.165,0.251,7.004,291.0,20.5
ORN,42,18.0,11.722000000000001,1.93,0.166,0.11199999999999999,7.01,293.0,20.5
ERM,43,18.0,227.78,0.5329999999999999,1.666,0.002,0.0,0.0,0.0
ERM,44,18.0,227.699,1.2409999999999999,1.6640000000000001,0.004,0.0,0.0,0.0
ERM,45,18.0,227.518,5.256,1.66,0.016,0.0,0.0,0.0
ERM,46,18.0,223.327,1.3259999999999998,1.6440000000000001,0.004,0.0,0.0,0.0
ERM,47,18.0,223.141,5.263999999999999,1.64,0.018000000000000002,0.0,0.0,0.0
ERM,48,18.0,223.405,0.569,1.646,0.002,0.0,0.0,0.0
ORN,49,18.0,11.696,4.412,0.165,0.251,7.004,291.0,20.5
ORN,50,18.0,11.718,1.931,0.166,0.11199999999999999,7.01,293.0,20.5
ERM,51,18.0,227.699,1.329,1.662,0.004,0.0,0.0,0.0
ERM,52,18.0,227.46900000000002,10.832,1.653,0.033,0.0,0.0,0.0
ERM,53,18.0,223.31400000000002,1.421,1.646,0.005,0.0,0.0,0.0
ERM,54,18.0,223.15,5.0169999999999995,1.641,0.017,0.0,0.0,0.0
ORN,55,18.0,12.58,183.243,0.16699999999999998,6.421,6.7989999999999995,0.0,0.0
ORN,56,18.0,14.443,9.228,0.204,0.09,7.093999999999999,289.0,27.7
ORN,57,18.0,14.298,18.886,0.203,0.191,7.097,280.0,27.2
OYB,58,18.0,12.422,1.847,0.17,0.10300000000000001,6.685,290.0,21.3
OYB,59,18.0,12.389000000000001,4.227,0.17,0.23199999999999998,6.6770000000000005,288.0,21.3
ORN,60,18.0,11.708,4.4110000000000005,0.165,0.251,7.004,291.0,20.5
ORN,61,18.0,11.73,1.93,0.166,0.11199999999999999,7.01,293.0,20.5
OYB,62,18.0,12.413,1.847,0.17,0.10300000000000001,6.684,290.0,21.3
OYB,63,18.0,12.385,4.227,0.17,0.23199999999999998,6.6770000000000005,288.0,21.3
OYB,64,18.0,10.793,1.6740000000000002,0.15,0.10099999999999999,6.773,285.0,19.0
OYB,65,18.0,10.777999999999999,4.111000000000001,0.15,0.24600000000000002,6.766,283.0,19.0
ORN,66,18.0,11.725999999999999,1.93,0.166,0.11199999999999999,7.01,293.0,20.5
ORN,67,18.0,11.700999999999999,4.412,0.165,0.251,7.004,291.0,20.5
ORN,68,18.0,11.102,1.6909999999999998,0.154,0.10400000000000001,7.053,290.0,18.1
ORN,69,18.0,11.09,4.15,0.153,0.252,7.046,288.0,18.1
RSD,70,18.0,48.228,157.518,0.475,0.76,0.0,0.0,0.0
ORN,71,18.0,11.305,282.318,0.153,8.443,6.962000000000001,0.0,0.0
OYB,72,18.0,12.42,1.847,0.17,0.10300000000000001,6.684,290.0,21.3
OYB,73,18.0,12.392000000000001,4.226,0.17,0.23199999999999998,6.6770000000000005,288.0,21.3
ORN,74,18.0,12.462,1.0070000000000001,0.18,0.049,6.902,282.0,20.0
OYB,75,18.0,19.18,4.952,0.23600000000000002,0.264,6.106,244.0,46.0
OYB,76,18.0,14.437000000000001,11.321,0.17300000000000001,0.598,5.986000000000001,0.0,0.0
ORN,77,18.0,19.91,5.371,0.249,0.284,6.569,244.0,46.7
ORN,78,18.0,15.408,11.347999999999999,0.188,0.607,6.513999999999999,0.0,0.0
OYB,79,18.0,13.763,4.125,0.193,0.111,6.784,283.0,21.5
OYB,80,18.0,13.036,4.834,0.182,0.157,6.763999999999999,0.0,0.0
ORN,81,18.0,12.174000000000001,1.4280000000000002,0.17800000000000002,0.043,7.197,290.0,20.2
ORN,82,18.0,13.638,4.6819999999999995,0.191,0.14800000000000002,7.167999999999999,0.0,0.0
