SUB,year,flow,nitrate,phosphorus
1,18.0,0.08847999999999999,55530.0,6061.0
2,18.0,0.07307999999999999,30730.0,1577.0
3,18.0,0.2277,129900.0,12840.0
4,18.0,0.0291,19040.0,2523.0
5,18.0,0.07595,53040.0,3567.0
6,18.0,0.025509999999999998,18530.0,1169.0
7,18.0,0.04488,33210.0,2572.0
8,18.0,0.05486,34060.0,3682.0
9,18.0,0.3127,169200.0,16640.0
10,18.0,0.1009,67840.0,6325.0
11,18.0,0.4271,180500.0,17790.0
12,18.0,0.048780000000000004,3781.0,739.8
13,18.0,0.5333,249600.0,24190.0
14,18.0,0.03385,20520.0,2827.0
15,18.0,0.1404,90900.0,7183.0
16,18.0,0.04113,15740.0,1102.0
17,18.0,0.032080000000000004,16220.0,2758.0
18,18.0,0.1748,111700.0,10030.0
19,18.0,0.5899,269700.0,25550.0
20,18.0,0.2069,127900.0,12780.0
21,18.0,0.02182,1142.0,227.7
22,18.0,0.1276,31370.0,2663.0
23,18.0,0.02748,1548.0,208.6
24,18.0,0.09568,29520.0,2375.0
25,18.0,0.024390000000000002,2178.0,454.7
26,18.0,0.055779999999999996,21020.0,1418.0
27,18.0,0.030080000000000003,10160.0,826.9
28,18.0,0.059289999999999995,22720.0,1712.0
29,18.0,0.07167000000000001,25690.0,1845.0
30,18.0,0.041710000000000004,15530.0,1018.0
31,18.0,0.2223,58750.0,4606.0
32,18.0,0.8655,422800.0,39940.0
33,18.0,0.131,48560.0,3585.0
34,18.0,0.02408,8073.0,648.5
35,18.0,0.05857999999999999,24290.0,3546.0
36,18.0,0.09766,44080.0,7038.0
37,18.0,0.2294,100300.0,14000.0
38,18.0,0.061770000000000005,28760.0,3972.0
39,18.0,0.16,70760.0,9837.0
40,18.0,0.04205,16390.0,1199.0
41,18.0,0.09167,35640.0,2683.0
42,18.0,0.023719999999999998,8968.0,609.1
43,18.0,0.1222,49490.0,4048.0
44,18.0,1.094,484500.0,44700.0
45,18.0,0.05439,19390.0,1121.0
46,18.0,0.1887,67150.0,4917.0
47,18.0,0.047810000000000005,18550.0,1430.0
48,18.0,1.216,534000.0,48750.0
49,18.0,0.187,75790.0,6277.0
50,18.0,0.03745,17270.0,1718.0
51,18.0,1.43,621600.0,56130.0
52,18.0,0.1338,47300.0,2662.0
53,18.0,0.08624,36700.0,5385.0
54,18.0,1.5659999999999998,670400.0,58910.0
55,18.0,0.03709,14040.0,957.9
56,18.0,0.1346,53130.0,4006.0
57,18.0,0.030989999999999997,14200.0,1397.0
58,18.0,0.028439999999999997,10430.0,651.3
59,18.0,0.2926,104800.0,7284.0
60,18.0,0.06704,34700.0,5731.0
61,18.0,0.06064,31000.0,4226.0
62,18.0,0.09673,36150.0,2383.0
63,18.0,1.6219999999999999,690900.0,60170.0
64,18.0,0.05043,18700.0,1215.0
65,18.0,0.029910000000000003,11410.0,790.0
66,18.0,0.06422,24140.0,1616.0
67,18.0,0.04119,16040.0,1045.0
68,18.0,0.07404,28530.0,2037.0
69,18.0,0.3731,160300.0,21970.0
70,18.0,0.1052,40200.0,2666.0
71,18.0,0.03211,12450.0,850.3
72,18.0,0.06019,26900.0,4371.0
73,18.0,0.4772,200600.0,24660.0
74,18.0,0.09212999999999999,39410.0,5231.0
75,18.0,1.733,732400.0,62870.0
76,18.0,0.3504,126100.0,8620.0
77,18.0,0.035,13380.0,935.3
78,18.0,0.0582,21480.0,1477.0
79,18.0,0.026430000000000002,10260.0,660.0
80,18.0,0.02474,9521.0,602.2
81,18.0,0.07052,27430.0,1842.0
82,18.0,0.036680000000000004,13980.0,967.4
83,18.0,2.093,861800.0,71600.0
84,18.0,0.04389,17090.0,1179.0
85,18.0,0.1076,41210.0,2657.0
86,18.0,0.02617,10040.0,622.5
87,18.0,0.027510000000000003,14470.0,1931.0
88,18.0,0.06995,26930.0,2047.0
89,18.0,0.57,240300.0,29940.0
90,18.0,0.1414,54060.0,3438.0
91,18.0,0.07646,27840.0,1854.0
92,18.0,0.4234,181900.0,16380.0
93,18.0,0.1033,45340.0,4557.0
94,18.0,0.5095,213300.0,18410.0
95,18.0,2.137,878500.0,72680.0
96,18.0,0.0296,15690.0,2116.0
97,18.0,0.1911,87960.0,11030.0
98,18.0,0.0351,13590.0,920.7
99,18.0,0.0444,17260.0,1118.0
100,18.0,0.06009,22520.0,1317.0
101,18.0,0.1423,52340.0,3289.0
102,18.0,0.731,301300.0,33680.0
103,18.0,0.05458,19920.0,1071.0
104,18.0,0.2532,111900.0,12490.0
105,18.0,0.3717,162100.0,15050.0
106,18.0,0.1529,69750.0,7475.0
107,18.0,0.1804,79340.0,6942.0
108,18.0,0.03182,14850.0,1432.0
109,18.0,2.658,1095000.0,91230.0
110,18.0,0.7885,322100.0,34740.0
111,18.0,0.3512,149200.0,14840.0
112,18.0,0.09147000000000001,34300.0,2142.0
113,18.0,0.2449,91250.0,5613.0
114,18.0,1.139,471400.0,49600.0
115,18.0,0.062439999999999996,23570.0,1498.0
116,18.0,0.0259,15700.0,2011.0
117,18.0,0.1337,58900.0,5153.0
118,18.0,0.07464,29270.0,2015.0
119,18.0,1.411,572300.0,55740.0
120,18.0,0.07566,29330.0,2000.0
121,18.0,1.492,603400.0,57810.0
122,18.0,2.8280000000000003,1157000.0,94710.0
123,18.0,1.525,616300.0,58640.0
124,18.0,0.0342,12940.0,832.7
125,18.0,4.374,1779000.0,153400.0
